order_id,date,customer_id,customer_segment,product_category,product_name,unit_price,quantity,total,region,payment_method,rating,returned,marketing_channel
ORD-001,2025-11-01,CUST-001,Returning,Electronics,Wireless Headphones,89.99,2,179.98,North,Card,4,No,Email
ORD-002,2025-11-01,CUST-002,New,Clothing,Cotton T-Shirt,24.99,3,74.97,South,Card,5,No,Social Media
ORD-003,2025-11-02,CUST-003,Loyal,Home & Garden,Ceramic Plant Pot,34.50,1,34.50,East,Cash,3,No,Organic Search
ORD-004,2025-11-02,CUST-004,VIP,Electronics,Laptop Stand,45.00,1,45.00,North,Card,4,No,Direct
ORD-005,2025-11-03,CUST-005,New,Clothing,Denim Jacket,89.99,1,89.99,West,Card,,Yes,Social Media
ORD-006,2025-11-03,CUST-006,Returning,Books,Data Science Handbook,54.99,1,54.99,East,PayPal,5,No,Email
ORD-007,2025-11-04,CUST-007,Loyal,Electronics,USB-C Hub,39.99,2,79.98,North,Card,4,No,Organic Search
ORD-008,2025-11-04,CUST-008,New,Sports & Outdoors,Yoga Mat,29.99,1,29.99,South,Cash,3,No,Social Media
ORD-009,2025-11-05,CUST-009,VIP,Home & Garden,Smart Thermostat,149.99,1,149.99,East,Card,5,No,Direct
ORD-010,2025-11-05,CUST-010,Returning,Clothing,Wool Scarf,39.99,2,79.98,North,PayPal,4,No,Email
ORD-011,2025-11-06,CUST-011,New,Electronics,Bluetooth Speaker,59.99,1,59.99,West,Card,3,Yes,Social Media
ORD-012,2025-11-06,CUST-012,Loyal,Books,Leadership & Strategy,42.00,1,42.00,South,Card,5,No,Email
ORD-013,2025-11-07,CUST-013,New,Sports & Outdoors,Running Shoes,129.99,1,129.99,North,Cash,4,No,Organic Search
ORD-014,2025-11-07,CUST-014,VIP,Home & Garden,Standing Desk,499.99,1,499.99,West,Card,5,No,Direct
ORD-015,2025-11-08,CUST-015,Returning,Electronics,Webcam HD,79.99,1,79.99,East,Card,4,No,Email
ORD-016,2025-11-08,CUST-016,Loyal,Clothing,Leather Belt,49.99,1,49.99,North,PayPal,4,No,Organic Search
ORD-017,2025-11-09,CUST-017,New,Books,The Art of Statistics,34.99,1,34.99,South,Card,,No,Social Media
ORD-018,2025-11-09,CUST-018,VIP,Electronics,Mechanical Keyboard,169.99,1,169.99,West,Card,5,No,Direct
ORD-019,2025-11-10,CUST-019,Returning,Sports & Outdoors,Dumbbell Set,89.99,2,179.98,East,Cash,4,No,Email
ORD-020,2025-11-10,CUST-020,New,Home & Garden,Indoor Plant Set,44.99,1,44.99,North,Card,3,No,Social Media
ORD-021,2025-11-11,CUST-021,Loyal,Electronics,Wireless Mouse,29.99,3,89.97,South,Card,4,No,Organic Search
ORD-022,2025-11-11,CUST-001,Returning,Clothing,Cashmere Sweater,119.99,1,119.99,North,Card,5,No,Email
ORD-023,2025-11-12,CUST-022,New,Books,Predictive Analytics,67.99,1,67.99,East,PayPal,4,No,Social Media
ORD-024,2025-11-12,CUST-023,VIP,Electronics,4K Monitor,699.99,1,699.99,West,Card,5,No,Direct
ORD-025,2025-11-13,CUST-024,Returning,Sports & Outdoors,Resistance Bands,19.99,3,59.97,North,Cash,3,No,Email
ORD-026,2025-11-13,CUST-025,New,Home & Garden,Bamboo Shelving,89.99,1,89.99,South,Card,,Yes,Social Media
ORD-027,2025-11-14,CUST-026,Loyal,Electronics,Tablet Stand,24.99,2,49.98,East,Card,4,No,Organic Search
